stn    time           nto002d0
MER    20141114              0
MER    20141115              0
MER    20141116              0
MER    20141117              0
MER    20141118              0
MER    20141119              0
MER    20141120              0
MER    20141121              0
MER    20141122              1
MER    20141123              0
MER    20141124              0
MER    20141125              0
MER    20141126              0
MER    20141127              0
MER    20141128              0
MER    20141129              0
MER    20141130              0
MER    20141201              0
MER    20141202              0
MER    20141203              0
MER    20141204              0
MER    20141205              0
MER    20141206              0
MER    20141207              0
MER    20141208              0
MER    20141209              0
MER    20141210              0
MER    20141211              0
MER    20141212              0
MER    20141213              0
MER    20141214              0
MER    20141215              0
MER    20141216              0
MER    20141217              0
MER    20141218              0
MER    20141219              0
MER    20141220              0
MER    20141221              1
MER    20141222              1
MER    20141223              0
MER    20141224              0
MER    20141225              0
MER    20141226              0
MER    20141227              0
MER    20141228              0
MER    20141229              0
MER    20141230              0
MER    20141231              0
MER    20150101              1
MER    20150102              0
MER    20150103              0
MER    20150104              0
MER    20150105              1
MER    20150106              0
MER    20150107              0
MER    20150108              0
MER    20150109              0
MER    20150110              0
MER    20150111              0
MER    20150112              0
MER    20150113              0
MER    20150114              0
MER    20150115              0
MER    20150116              0
MER    20150117              0
MER    20150118              0
MER    20150119              0
MER    20150120              0
MER    20150121              0
MER    20150122              0
MER    20150123              0
MER    20150124              0
MER    20150125              0
MER    20150126              0
MER    20150127              0
MER    20150128              0
MER    20150129              0
MER    20150130              0
MER    20150131              0
MER    20150201              0
MER    20150202              0
MER    20150203              0
MER    20150204              0
MER    20150205              0
MER    20150206              0
MER    20150207              0
MER    20150208              0
MER    20150209              0
MER    20150210              1
MER    20150211              0
MER    20150212              1
MER    20150213              0
MER    20150214              0
MER    20150215              0
MER    20150216              0
MER    20150217              0
MER    20150218              0
MER    20150219              1
MER    20150220              1
MER    20150221              0
MER    20150222              0
MER    20150223              0
MER    20150224              0
MER    20150225              0
MER    20150226              1
MER    20150227              0
MER    20150228              0
MER    20150301              0
MER    20150302              0
MER    20150303              0
MER    20150304              0
MER    20150305              0
MER    20150306              1
MER    20150307              1
MER    20150308              0
MER    20150309              0
MER    20150310              1
MER    20150311              0
MER    20150312              0
MER    20150313              0
MER    20150314              0
MER    20150315              0
MER    20150316              0
MER    20150317              0
MER    20150318              0
MER    20150319              1
MER    20150320              0
MER    20150321              0
MER    20150322              0
MER    20150323              1
