 

stn    time           tre200dx
RAG    19400701           22.2
RAG    19400702           25.3
RAG    19400703           25.1
RAG    19400704           18.7
RAG    19400705           20.5
RAG    19400706           27.1
RAG    19400707           23.6
RAG    19400708           16.2
RAG    19400709           18.4
RAG    19400710           23.2
RAG    19400711           25.2
RAG    19400712           16.0
RAG    19400713           18.1
RAG    19400714           21.6
RAG    19400715           27.5
RAG    19400716           22.6
RAG    19400717           16.6
RAG    19400718           19.8
RAG    19400719           22.5
RAG    19400720           25.9
RAG    19400721           22.4
RAG    19400722           16.8
RAG    19400723           18.8
RAG    19400724           23.4
RAG    19400725           23.9
RAG    19400726           26.6
RAG    19400727           19.8
RAG    19400728           17.4
RAG    19400729           19.4
RAG    19400730           19.4
RAG    19400731           20.2
RAG    19400801           22.1
RAG    19400802           23.3
RAG    19400803           23.1
RAG    19400804           25.0
RAG    19400805           26.2
RAG    19400806           21.8
RAG    19400807           25.2
RAG    19400808           23.6
RAG    19400809           26.3
RAG    19400810           25.0
RAG    19400811           20.6
RAG    19400812           19.5
RAG    19400813           20.0
RAG    19400814           20.0
RAG    19400815           22.3
RAG    19400816           20.2
RAG    19400817           19.5
RAG    19400818           22.1
RAG    19400819           22.8
RAG    19400820           17.8
RAG    19400821           13.8
RAG    19400822           12.0
RAG    19400823           15.4
RAG    19400824           13.3
RAG    19400825           17.6
RAG    19400826           21.1
RAG    19400827           23.2
RAG    19400828           18.3
RAG    19400829           19.4
RAG    19400830           16.8
RAG    19400831           16.7
RAG    19400901           21.4
RAG    19400902           22.7
RAG    19400903           23.5
RAG    19400904           22.3
RAG    19400905           23.6
RAG    19400906           24.2
RAG    19400907           24.6
RAG    19400908           24.1
RAG    19400909           16.7
RAG    19400910           10.8
RAG    19400911            8.8
RAG    19400912           11.9
RAG    19400913           15.6
RAG    19400914           16.3
RAG    19400915           15.0
RAG    19400916           16.3
RAG    19400917           20.1
RAG    19400918           20.5
RAG    19400919           25.1
RAG    19400920           22.4
RAG    19400921           21.6
RAG    19400922           21.7
RAG    19400923           23.5
RAG    19400924           17.8
RAG    19400925           17.3
RAG    19400926           12.8
RAG    19400927           16.9
RAG    19400928           18.1
RAG    19400929           10.1
RAG    19400930           10.5
RAG    19401001           12.0
RAG    19401002           13.7
RAG    19401003           15.5
RAG    19401004           13.4
RAG    19401005           15.6
RAG    19401006           16.3
RAG    19401007           14.9
RAG    19401008           12.6
RAG    19401009           20.7
RAG    19401010           22.5
RAG    19401011           16.4
RAG    19401012           13.4
RAG    19401013           15.3
RAG    19401014           15.7
RAG    19401015           14.6
RAG    19401016           18.4
RAG    19401017           20.1
RAG    19401018           14.0
RAG    19401019           15.1
RAG    19401020           14.3
RAG    19401021           16.6
RAG    19401022           15.1
RAG    19401023           13.0
RAG    19401024           13.2
RAG    19401025            8.2
RAG    19401026            4.5
RAG    19401027            3.1
RAG    19401028            3.5
RAG    19401029            3.9
RAG    19401030            1.9
RAG    19401031            8.5
RAG    19401101           11.9
RAG    19401102           11.9
RAG    19401103           11.5
RAG    19401104           17.3
RAG    19401105           15.4
RAG    19401106            9.3
RAG    19401107            6.8
RAG    19401108            6.1
RAG    19401109            8.8
RAG    19401110           11.9
RAG    19401111           10.3
RAG    19401112           13.0
RAG    19401113           12.2
RAG    19401114           17.4
RAG    19401115            7.6
RAG    19401116            9.6
RAG    19401117            9.6
RAG    19401118            8.5
RAG    19401119            5.6
RAG    19401120            8.8
RAG    19401121            8.8
RAG    19401122           11.5
RAG    19401123           11.5
RAG    19401124            5.9
RAG    19401125            5.0
RAG    19401126            5.0
RAG    19401127            5.5
RAG    19401128            1.5
RAG    19401129            1.4
RAG    19401130            0.2
RAG    19401201           -0.8
RAG    19401202           -3.6
RAG    19401203           -3.4
RAG    19401204            1.5
RAG    19401205            3.5
RAG    19401206            4.5
RAG    19401207            2.0
RAG    19401208            1.0
RAG    19401209            2.7
RAG    19401210            3.2
RAG    19401211            2.5
RAG    19401212            0.2
RAG    19401213            0.6
RAG    19401214           -0.3
RAG    19401215           -8.5
RAG    19401216          -12.0
RAG    19401217          -13.5
RAG    19401218          -11.8
RAG    19401219           -4.5
RAG    19401220           -1.5
RAG    19401221           -6.0
RAG    19401222           -9.0
RAG    19401223           -9.3
RAG    19401224          -10.0
RAG    19401225          -13.5
RAG    19401226          -12.5
RAG    19401227           -8.0
RAG    19401228           -5.0
RAG    19401229           -8.8
RAG    19401230           -2.4
RAG    19401231            5.0
RAG    19410101            5.0
RAG    19410102            8.2
RAG    19410103           -4.4
RAG    19410104           -8.5
RAG    19410105           -8.2
RAG    19410106           -5.6
RAG    19410107           -8.2
RAG    19410108           -7.9
RAG    19410109           -7.6
RAG    19410110           -3.5
RAG    19410111           -9.6
RAG    19410112           -8.0
RAG    19410113           -8.3
RAG    19410114           -3.8
RAG    19410115          -10.2
RAG    19410116          -10.6
RAG    19410117           -6.6
RAG    19410118           -2.6
RAG    19410119            6.6
RAG    19410120           10.0
RAG    19410121           10.5
RAG    19410122            9.4
RAG    19410123            9.0
RAG    19410124            7.0
RAG    19410125            5.0
RAG    19410126            4.3
RAG    19410127            3.2
RAG    19410128            1.0
RAG    19410129            2.2
RAG    19410130            2.2
RAG    19410131            7.9
RAG    19410201            6.1
RAG    19410202            1.9
RAG    19410203            7.6
RAG    19410204            0.6
RAG    19410205           -4.0
RAG    19410206           -4.9
RAG    19410207            4.9
RAG    19410208            1.6
RAG    19410209            8.4
RAG    19410210            8.7
RAG    19410211            8.8
RAG    19410212           12.0
RAG    19410213           11.8
RAG    19410214            9.4
RAG    19410215            8.6
RAG    19410216           13.4
RAG    19410217           12.6
RAG    19410218            9.0
RAG    19410219            7.1
RAG    19410220            6.0
RAG    19410221            5.8
RAG    19410222            3.0
RAG    19410223            5.4
RAG    19410224            6.4
RAG    19410225            4.0
RAG    19410226            2.0
RAG    19410227            8.1
RAG    19410228           11.6
RAG    19410301           13.1
RAG    19410302           18.3
RAG    19410303           12.6
RAG    19410304            7.2
RAG    19410305            4.8
RAG    19410306            7.8
RAG    19410307           13.3
RAG    19410308           14.1
RAG    19410309           11.5
RAG    19410310           11.6
RAG    19410311           10.3
RAG    19410312           10.0
RAG    19410313           10.0
RAG    19410314           10.1
RAG    19410315           11.4
RAG    19410316           13.6
RAG    19410317           10.0
RAG    19410318            5.6
RAG    19410319            7.5
RAG    19410320           11.0
RAG    19410321           12.6
RAG    19410322            8.4
RAG    19410323            7.8
RAG    19410324            7.6
RAG    19410325           11.2
RAG    19410326           14.7
RAG    19410327           14.0
RAG    19410328           11.8
RAG    19410329           11.0
RAG    19410330           16.3
RAG    19410331           10.7
RAG    19410401           13.8
RAG    19410402           10.5
RAG    19410403           13.4
RAG    19410404           15.6
RAG    19410405           12.1
RAG    19410406            8.0
RAG    19410407            6.2
RAG    19410408            3.0
RAG    19410409            3.7
RAG    19410410            2.1
RAG    19410411            5.1
RAG    19410412           11.0
RAG    19410413           15.5
RAG    19410414           19.4
RAG    19410415           14.6
RAG    19410416           11.3
RAG    19410417           12.5
RAG    19410418           16.7
RAG    19410419           12.3
RAG    19410420           17.2
RAG    19410421           15.0
RAG    19410422           14.1
RAG    19410423           17.1
RAG    19410424           11.2
RAG    19410425           12.9
RAG    19410426            8.0
RAG    19410427            8.5
RAG    19410428           12.8
RAG    19410429           17.8
RAG    19410430           18.6
RAG    19410501           17.5
RAG    19410502           15.0
RAG    19410503            9.4
RAG    19410504            9.2
RAG    19410505           12.4
RAG    19410506           14.0
RAG    19410507           14.2
RAG    19410508           11.8
RAG    19410509           17.5
RAG    19410510           17.0
RAG    19410511           10.4
RAG    19410512            8.5
RAG    19410513           15.6
RAG    19410514           19.3
RAG    19410515           20.0
RAG    19410516           13.6
RAG    19410517           18.4
RAG    19410518           18.8
RAG    19410519           13.4
RAG    19410520            8.3
RAG    19410521           11.1
RAG    19410522           18.0
RAG    19410523           21.0
RAG    19410524           11.9
RAG    19410525           16.1
RAG    19410526           19.4
RAG    19410527           15.6
RAG    19410528           21.0
RAG    19410529           15.4
RAG    19410530           19.3
RAG    19410531           13.0
RAG    19410601           21.5
RAG    19410602           25.4
RAG    19410603           24.2
RAG    19410604           29.0
RAG    19410605           22.7
RAG    19410606           13.8
RAG    19410607           18.5
RAG    19410608           18.2
RAG    19410609           21.6
RAG    19410610           17.9
RAG    19410611           13.3
RAG    19410612           16.9
RAG    19410613           14.4
RAG    19410614           16.1
RAG    19410615           17.5
RAG    19410616           17.0
RAG    19410617           21.0
RAG    19410618           25.0
RAG    19410619           27.2
RAG    19410620           27.9
RAG    19410621           28.1
RAG    19410622           27.8
RAG    19410623           27.6
RAG    19410624           28.4
RAG    19410625           28.8
RAG    19410626           26.9
RAG    19410627           22.5
RAG    19410628           23.5
RAG    19410629           19.2
RAG    19410630           19.5
RAG    19410701           23.0
RAG    19410702           19.8
RAG    19410703           23.1
RAG    19410704           24.6
RAG    19410705           25.4
RAG    19410706           25.8
RAG    19410707           27.8
RAG    19410708           29.0
RAG    19410709           26.1
RAG    19410710           27.4
RAG    19410711           26.6
RAG    19410712           29.5
RAG    19410713           30.8
