 

stn    time           nto002d0
CLA    19420614              0
CLA    19420615              0
CLA    19420616              0
CLA    19420617              0
CLA    19420618              1
CLA    19420619              1
CLA    19420620              0
CLA    19420621              0
CLA    19420622              0
CLA    19420623              1
CLA    19420624              0
CLA    19420625              0
CLA    19420626              0
CLA    19420627              0
CLA    19420628              0
CLA    19420629              1
CLA    19420630              1
CLA    19420701              0
CLA    19420702              0
CLA    19420703              0
CLA    19420704              1
CLA    19420705              1
CLA    19420706              0
CLA    19420707              0
CLA    19420708              0
CLA    19420709              1
CLA    19420710              0
CLA    19420711              0
CLA    19420712              0
CLA    19420713              0
CLA    19420714              0
CLA    19420715              0
CLA    19420716              1
CLA    19420717              0
CLA    19420718              0
CLA    19420719              0
CLA    19420720              0
CLA    19420721              0
CLA    19420722              0
CLA    19420723              0
CLA    19420724              1
CLA    19420725              1
CLA    19420726              0
CLA    19420727              0
CLA    19420728              1
CLA    19420729              1
CLA    19420730              1
CLA    19420731              1
CLA    19420801              1
CLA    19420802              0
CLA    19420803              0
CLA    19420804              0
CLA    19420805              0
CLA    19420806              0
CLA    19420807              1
CLA    19420808              1
CLA    19420809              0
CLA    19420810              1
CLA    19420811              1
CLA    19420812              0
CLA    19420813              0
CLA    19420814              1
CLA    19420815              0
CLA    19420816              1
CLA    19420817              0
CLA    19420818              0
CLA    19420819              0
CLA    19420820              0
CLA    19420821              0
CLA    19420822              0
CLA    19420823              0
CLA    19420824              0
CLA    19420825              1
CLA    19420826              1
CLA    19420827              1
CLA    19420828              1
CLA    19420829              0
CLA    19420830              0
CLA    19420831              0
CLA    19420901              0
CLA    19420902              1
CLA    19420903              1
CLA    19420904              0
CLA    19420905              1
CLA    19420906              0
CLA    19420907              0
CLA    19420908              0
CLA    19420909              1
CLA    19420910              1
CLA    19420911              1
CLA    19420912              1
CLA    19420913              0
CLA    19420914              0
CLA    19420915              0
CLA    19420916              0
CLA    19420917              1
CLA    19420918              1
CLA    19420919              1
CLA    19420920              0
CLA    19420921              0
CLA    19420922              0
CLA    19420923              0
CLA    19420924              0
CLA    19420925              0
CLA    19420926              0
CLA    19420927              0
CLA    19420928              0
CLA    19420929              0
CLA    19420930              0
CLA    19421001              1
CLA    19421002              1
CLA    19421003              1
CLA    19421004              1
CLA    19421005              1
CLA    19421006              1
CLA    19421007              0
CLA    19421008              0
CLA    19421009              0
CLA    19421010              1
CLA    19421011              0
CLA    19421012              0
CLA    19421013              0
CLA    19421014              1
CLA    19421015              1
CLA    19421016              0
CLA    19421017              1
CLA    19421018              0
CLA    19421019              0
CLA    19421020              1
CLA    19421021              0
CLA    19421022              0
CLA    19421023              0
CLA    19421024              1
