 

stn    time           hns000d0
LUZ    19410818              0
LUZ    19410819              0
LUZ    19410820              0
LUZ    19410821              0
LUZ    19410822              0
LUZ    19410823              0
LUZ    19410824              0
LUZ    19410825              0
LUZ    19410826              0
LUZ    19410827              0
LUZ    19410828              0
LUZ    19410829              0
LUZ    19410830              0
LUZ    19410831              0
LUZ    19410901              0
LUZ    19410902              0
LUZ    19410903              0
LUZ    19410904              0
LUZ    19410905              0
LUZ    19410906              0
LUZ    19410907              0
LUZ    19410908              0
LUZ    19410909              0
LUZ    19410910              0
LUZ    19410911              0
LUZ    19410912              0
LUZ    19410913              0
LUZ    19410914              0
LUZ    19410915              0
LUZ    19410916              0
LUZ    19410917              0
LUZ    19410918              0
LUZ    19410919              0
LUZ    19410920              0
LUZ    19410921              0
LUZ    19410922              0
LUZ    19410923              0
LUZ    19410924              0
LUZ    19410925              0
LUZ    19410926              0
LUZ    19410927              0
LUZ    19410928              0
LUZ    19410929              0
LUZ    19410930              0
LUZ    19411001              0
LUZ    19411002              0
LUZ    19411003              0
LUZ    19411004              0
LUZ    19411005              0
LUZ    19411006              0
LUZ    19411007              0
LUZ    19411008              0
LUZ    19411009              0
LUZ    19411010              0
LUZ    19411011              0
LUZ    19411012              0
LUZ    19411013              0
LUZ    19411014              0
LUZ    19411015              0
LUZ    19411016              0
LUZ    19411017              0
LUZ    19411018              0
LUZ    19411019              0
LUZ    19411020              0
LUZ    19411021              0
LUZ    19411022              0
LUZ    19411023              0
LUZ    19411024              0
LUZ    19411025              0
LUZ    19411026              0
LUZ    19411027              0
LUZ    19411028              0
LUZ    19411029              3
LUZ    19411030              1
LUZ    19411031              4
LUZ    19411101              0
LUZ    19411102              4
LUZ    19411103              0
LUZ    19411104              0
LUZ    19411105             11
LUZ    19411106              0
LUZ    19411107              0
LUZ    19411108              0
LUZ    19411109              0
LUZ    19411110              0
LUZ    19411111              0
LUZ    19411112              0
LUZ    19411113              0
LUZ    19411114              2
LUZ    19411115              0
LUZ    19411116              0
LUZ    19411117              0
LUZ    19411118              0
LUZ    19411119              0
LUZ    19411120              0
LUZ    19411121              0
LUZ    19411122              0
LUZ    19411123              0
LUZ    19411124              0
LUZ    19411125              0
LUZ    19411126              0
LUZ    19411127              0
LUZ    19411128              0
LUZ    19411129              0
LUZ    19411130              0
LUZ    19411201              0
LUZ    19411202              0
LUZ    19411203              0
LUZ    19411204              0
LUZ    19411205              0
LUZ    19411206              0
LUZ    19411207              1
LUZ    19411208              1
LUZ    19411209              0
LUZ    19411210              0
LUZ    19411211              0
LUZ    19411212              0
LUZ    19411213              0
LUZ    19411214              0
LUZ    19411215              0
LUZ    19411216              0
LUZ    19411217              0
LUZ    19411218              0
LUZ    19411219              0
LUZ    19411220              0
LUZ    19411221              0
LUZ    19411222              0
LUZ    19411223              0
LUZ    19411224              0
LUZ    19411225              3
LUZ    19411226              0
LUZ    19411227              8
LUZ    19411228              0
LUZ    19411229              0
LUZ    19411230              0
LUZ    19411231              0
LUZ    19420101              0
LUZ    19420102              0
LUZ    19420103              0
LUZ    19420104              0
LUZ    19420105              0
LUZ    19420106              9
LUZ    19420107              0
LUZ    19420108              0
LUZ    19420109              0
LUZ    19420110              0
LUZ    19420111              1
LUZ    19420112              0
LUZ    19420113              0
LUZ    19420114              0
LUZ    19420115              0
LUZ    19420116              0
LUZ    19420117              0
LUZ    19420118              0
LUZ    19420119             12
LUZ    19420120              0
LUZ    19420121              0
LUZ    19420122              0
LUZ    19420123             24
LUZ    19420124              0
LUZ    19420125              3
LUZ    19420126              3
LUZ    19420127              2
LUZ    19420128              2
LUZ    19420129             11
LUZ    19420130              5
LUZ    19420131             20
LUZ    19420201              1
LUZ    19420202              0
LUZ    19420203              5
LUZ    19420204             12
LUZ    19420205              2
LUZ    19420206              0
LUZ    19420207              0
LUZ    19420208              0
LUZ    19420209              0
LUZ    19420210              0
LUZ    19420211              5
LUZ    19420212              0
LUZ    19420213              4
LUZ    19420214              4
LUZ    19420215              8
LUZ    19420216              1
LUZ    19420217              0
LUZ    19420218              0
LUZ    19420219              0
LUZ    19420220              0
LUZ    19420221              0
LUZ    19420222              0
LUZ    19420223              0
LUZ    19420224              0
LUZ    19420225              0
LUZ    19420226              0
LUZ    19420227              0
LUZ    19420228              0
LUZ    19420301              0
LUZ    19420302              0
LUZ    19420303              0
LUZ    19420304              0
LUZ    19420305              0
LUZ    19420306              0
LUZ    19420307              6
LUZ    19420308              0
LUZ    19420309              0
LUZ    19420310              0
LUZ    19420311              0
LUZ    19420312              0
LUZ    19420313              0
LUZ    19420314              0
LUZ    19420315              0
LUZ    19420316              0
LUZ    19420317              0
LUZ    19420318              0
LUZ    19420319              0
LUZ    19420320              0
LUZ    19420321              0
LUZ    19420322              0
LUZ    19420323              0
LUZ    19420324              0
LUZ    19420325              0
LUZ    19420326              0
LUZ    19420327              0
LUZ    19420328              0
LUZ    19420329              0
LUZ    19420330              0
LUZ    19420331              0
LUZ    19420401              0
LUZ    19420402              0
LUZ    19420403              0
LUZ    19420404              0
LUZ    19420405              0
LUZ    19420406              0
LUZ    19420407              0
LUZ    19420408              0
LUZ    19420409              0
LUZ    19420410              0
LUZ    19420411              0
LUZ    19420412              0
LUZ    19420413              0
LUZ    19420414              0
LUZ    19420415              0
LUZ    19420416              0
LUZ    19420417              0
LUZ    19420418              0
LUZ    19420419              0
LUZ    19420420              0
LUZ    19420421              0
LUZ    19420422              0
LUZ    19420423              0
LUZ    19420424              0
LUZ    19420425              0
LUZ    19420426              0
LUZ    19420427              0
LUZ    19420428              0
LUZ    19420429              0
LUZ    19420430              0
LUZ    19420501              1
LUZ    19420502              0
LUZ    19420503              0
LUZ    19420504              0
LUZ    19420505              0
LUZ    19420506              0
LUZ    19420507              0
LUZ    19420508              0
LUZ    19420509              0
LUZ    19420510              0
LUZ    19420511              0
LUZ    19420512              0
LUZ    19420513              0
LUZ    19420514              0
LUZ    19420515              0
LUZ    19420516              0
LUZ    19420517              0
LUZ    19420518              0
LUZ    19420519              0
LUZ    19420520              0
LUZ    19420521              0
LUZ    19420522              0
LUZ    19420523              0
